N,Mass Flow,Efficiency,Pressure Ratio,Mass Flow Lbs
0.7,12.793088647200001,0.61761,3.14944,28.20408
0.7,12.7838308753,0.63366,3.31257,28.18367
0.7,12.765319867399999,0.64928,3.47303,28.14286
0.7,12.7492264942,0.6634,3.63375,28.10738
0.7,12.706149051899999,0.67503,3.78635,28.01241
0.7,12.6630761455,0.68298,3.93798,27.91745
0.7,12.6045448919,0.6884,4.08386,27.78841
0.7,12.5378399465,0.691,4.22581,27.64135
0.7,12.4413250663,0.6912,4.35639,27.42857
0.7,12.3163564854,0.689,4.4751,27.15306
0.7,12.1636191247,0.68393,4.58126,26.81633
0.7,11.9747578564,0.67769,4.67096,26.39996
0.7,11.7787026507,0.67114,4.75387,25.96773
0.7,11.561918382,0.66431,4.82458,25.4898
0.7,11.33975,0.65725,4.88849,25.0
0.75,15.697243981199998,0.65221,3.87666,34.60668
0.75,15.689669028199999,0.66821,4.07301,34.58998
0.75,15.6783111346,0.68168,4.26811,34.56494
0.75,15.6631612286,0.6937,4.46186,34.53154
0.75,15.640159679699998,0.70492,4.65288,34.48083
0.75,15.607396873999999,0.71234,4.84031,34.4086
0.75,15.5593707648,0.71837,5.02204,34.30272
0.75,15.5003224186,0.72158,5.19898,34.17254
0.75,15.409436590299999,0.72258,5.36354,33.97217
0.75,15.284468009400001,0.72058,5.51388,33.69666
0.75,15.1405665819,0.71636,5.6545,33.37941
0.75,14.9512199723,0.70962,5.77476,32.96197
0.75,14.7507604077,0.70268,5.88659,32.52003
0.75,14.5081487244,0.69557,5.97728,31.98516
0.75,14.2771444092,0.68669,6.06753,31.47588
0.8,20.1279519243,0.71171,5.07787,44.37477
0.8,20.117850475,0.72593,5.32315,44.3525
0.8,20.0976566482,0.73857,5.56511,44.30798
0.8,20.072409828799998,0.7491,5.80503,44.25232
0.8,20.026964646699998,0.75722,6.03775,44.15213
0.8,19.9764755438,0.76182,6.26777,44.04082
0.8,19.9057835423,0.76403,6.48959,43.88497
0.8,19.8048008006,0.76398,6.69895,43.66234
0.8,19.681093199899998,0.76278,6.89767,43.38961
0.8,19.533826134599998,0.76023,7.08471,43.06494
0.8,19.368882667,0.75647,7.26164,42.7013
0.8,19.192159467099998,0.75161,7.43029,42.31169
0.8,18.9859801326,0.74646,7.58299,41.85714
0.8,18.773913199899997,0.74094,7.72881,41.38961
0.8,18.526502534400002,0.73533,7.85484,40.84416
0.85,25.364852589799998,0.75185,6.64052,55.92022
